k,inertia,silhouette
2,208.00456583412515,0.0023674593791371016
3,206.93847197181282,0.002055354842234498
4,205.8986549635487,0.0003243784606374292
5,204.81817278000597,0.0006011988525912984
6,203.70434918546553,-0.0002720913031785426
7,202.723468710526,-0.0002345698107786834
8,201.5848726825072,0.0007800345056594238
9,200.61771271579647,-0.0002795456683215924
10,199.59615699643507,0.00015182773043919922
