,n_topics,alpha,coherence,perplexite
0,2,0.01,0.3561,366.75
1,2,0.05,0.3294,368.17
2,2,0.1,0.3294,369.64
3,2,0.3,0.3791,378.9
4,2,auto,0.3776,375.0
5,3,0.01,0.3844,378.43
6,3,0.05,0.3731,379.42
7,3,0.1,0.3395,383.27
8,3,0.3,0.3844,396.13
9,3,auto,0.4023,382.2
10,4,0.01,0.4011,395.0
11,4,0.05,0.4164,396.25
12,4,0.1,0.3956,400.44
13,4,0.3,0.3929,415.73
14,4,auto,0.3848,394.97
15,5,0.01,0.3842,406.06
16,5,0.05,0.3793,409.19
17,5,0.1,0.391,412.93
18,5,0.3,0.3901,432.84
19,5,auto,0.3737,405.99
20,6,0.01,0.3862,420.2
21,6,0.05,0.3817,425.32
22,6,0.1,0.4072,434.41
23,6,0.3,0.3878,459.63
24,6,auto,0.4013,422.99
25,7,0.01,0.3817,433.6
26,7,0.05,0.3928,439.31
27,7,0.1,0.4166,451.0
28,7,0.3,0.4177,481.26
29,7,auto,0.4211,437.8
30,8,0.01,0.4005,446.75
31,8,0.05,0.4051,455.44
32,8,0.1,0.3927,469.66
33,8,0.3,0.4426,509.83
34,8,auto,0.4087,451.6
