,saison,episode,nbActeurParEp,nbEchangesParEp,nbMotsTotal,moyenneMotsParEchanges
151,07,12,10,196,2366,12.071428571428571
152,07,13,10,269,3170,11.784386617100372
153,07,14,11,242,2601,10.74793388429752
154,07,15,17,320,3292,10.2875
155,07,16,9,360,3856,10.71111111111111
156,07,17,11,283,2701,9.54416961130742
157,07,18,12,217,2862,13.188940092165899
158,07,19,12,258,2709,10.5
159,07,20,9,259,3028,11.691119691119692
160,07,21,8,257,2320,9.027237354085603
161,07,22,17,270,2594,9.607407407407408
162,07,23,13,477,5081,10.651991614255765
163,07,24,16,185,2000,10.81081081081081
164,08,01,18,274,2667,9.733576642335766
165,08,02,11,272,2774,10.198529411764707
166,08,03,12,264,2616,9.909090909090908
167,08,04,8,270,2772,10.266666666666667
168,08,05,12,282,3064,10.865248226950355
169,08,06,18,295,2807,9.515254237288136
170,08,07,9,258,2676,10.372093023255815
171,08,08,11,233,2666,11.44206008583691
172,08,09,7,272,2985,10.974264705882353
173,08,10,11,275,3132,11.389090909090909
174,08,11,11,224,2841,12.683035714285714
175,08,12,8,222,2919,13.14864864864865
176,08,13,7,270,2762,10.22962962962963
177,08,14,7,253,2749,10.865612648221344
178,08,15,10,236,2688,11.389830508474576
179,08,16,10,222,2665,12.004504504504505
180,08,17,9,216,2578,11.935185185185185
181,08,18,12,225,2797,12.431111111111111
182,08,19,15,237,2753,11.61603375527426
183,08,20,10,255,3086,12.101960784313725
184,08,21,13,266,2953,11.101503759398497
185,08,22,7,225,2687,11.942222222222222
186,08,23,18,499,4997,10.014028056112224
187,09,01,7,264,2593,9.821969696969697
188,09,02,7,248,2692,10.85483870967742
189,09,03,14,267,2794,10.464419475655431
190,09,04,8,168,2424,14.428571428571429
191,09,05,10,246,3045,12.378048780487806
192,09,06,10,313,3785,12.092651757188499
193,09,07,10,221,3017,13.65158371040724
194,09,08,15,278,3305,11.888489208633093
195,09,09,11,273,2789,10.216117216117215
196,09,10,12,280,2746,9.807142857142857
197,09,11,14,226,3031,13.41150442477876
198,09,12,11,250,2906,11.624
199,09,13,15,293,3562,12.156996587030717
200,09,14,8,259,2907,11.223938223938225
201,09,15,13,274,3045,11.113138686131387
202,09,16,9,241,3090,12.821576763485478
203,09,17,11,259,3177,12.266409266409266
204,09,18,11,280,3055,10.910714285714286
205,09,19,10,242,3114,12.867768595041323
206,09,20,16,292,3076,10.534246575342467
207,09,21,11,276,3226,11.68840579710145
208,09,22,14,300,3348,11.16
209,09,23,16,595,6175,10.378151260504202
210,10,01,10,342,3345,9.780701754385966
211,10,02,10,223,2545,11.41255605381166
212,10,03,9,263,2607,9.912547528517111
213,10,04,10,269,3148,11.702602230483272
214,10,05,10,331,3365,10.166163141993957
215,10,06,9,294,3086,10.496598639455783
216,10,07,9,274,3139,11.456204379562044
217,10,08,8,331,3180,9.607250755287009
218,10,09,12,270,2923,10.825925925925926
219,10,10,8,288,2925,10.15625
220,10,11,17,329,3131,9.516717325227964
221,10,12,7,310,3712,11.974193548387097
222,10,13,12,306,2760,9.019607843137255
223,10,14,19,314,2995,9.538216560509554
224,10,15,13,233,2752,11.811158798283262
225,10,16,8,253,2869,11.339920948616601
226,10,17,14,560,5208,9.3
