,n_topics,alpha,coherence,perplexite
0,2,0.01,0.4757,447.06
1,2,0.05,0.4805,449.32
2,2,0.1,0.4827,449.33
3,2,0.3,0.4631,459.16
4,2,auto,0.4841,455.55
5,3,0.01,0.4474,466.29
6,3,0.05,0.4243,466.13
7,3,0.1,0.4528,471.14
8,3,0.3,0.4346,486.85
9,3,auto,0.4332,468.9
10,4,0.01,0.4537,480.54
11,4,0.05,0.4721,480.77
12,4,0.1,0.4629,488.39
13,4,0.3,0.4829,507.04
14,4,auto,0.4843,480.0
15,5,0.01,0.4824,499.18
16,5,0.05,0.4674,499.99
17,5,0.1,0.4543,507.77
18,5,0.3,0.4297,536.89
19,5,auto,0.4729,497.66
20,6,0.01,0.4639,513.79
21,6,0.05,0.4474,519.42
22,6,0.1,0.4656,530.49
23,6,0.3,0.4778,560.23
24,6,auto,0.4659,516.67
25,7,0.01,0.4843,525.57
26,7,0.05,0.4914,534.86
27,7,0.1,0.4774,551.46
28,7,0.3,0.439,586.56
29,7,auto,0.4567,533.66
30,8,0.01,0.4938,544.5
31,8,0.05,0.4705,554.88
32,8,0.1,0.4678,570.59
33,8,0.3,0.4813,613.17
34,8,auto,0.4703,551.41
