,n_topics,alpha,coherence,perplexite
0,2,0.01,0.3601,448.36
1,2,0.05,0.3425,450.37
2,2,0.1,0.3621,452.78
3,2,0.3,0.3428,460.99
4,2,auto,0.3739,455.63
5,3,0.01,0.3697,461.66
6,3,0.05,0.3813,463.85
7,3,0.1,0.4179,466.36
8,3,0.3,0.4185,482.03
9,3,auto,0.4413,463.91
10,4,0.01,0.412,478.52
11,4,0.05,0.4114,483.11
12,4,0.1,0.4108,489.17
13,4,0.3,0.4064,513.99
14,4,auto,0.3928,485.07
15,5,0.01,0.4296,493.42
16,5,0.05,0.4412,499.75
17,5,0.1,0.4344,507.71
18,5,0.3,0.4168,539.1
19,5,auto,0.4435,496.36
20,6,0.01,0.4015,520.74
21,6,0.05,0.4165,526.83
22,6,0.1,0.4207,537.84
23,6,0.3,0.4421,571.99
24,6,auto,0.4152,522.08
25,7,0.01,0.4288,541.73
26,7,0.05,0.4321,549.6
27,7,0.1,0.4373,566.28
28,7,0.3,0.4563,607.6
29,7,auto,0.4415,547.65
30,8,0.01,0.4652,560.31
31,8,0.05,0.4739,571.26
32,8,0.1,0.4489,587.62
33,8,0.3,0.4327,628.91
34,8,auto,0.4326,563.34
