,n_topics,alpha,coherence,perplexite
0,2,0.01,0.2909,422.81
1,2,0.05,0.2806,423.86
2,2,0.1,0.3165,426.27
3,2,0.3,0.324,435.53
4,2,auto,0.3026,433.95
5,3,0.01,0.3555,439.2
6,3,0.05,0.3471,439.38
7,3,0.1,0.3464,443.18
8,3,0.3,0.3517,456.0
9,3,auto,0.3407,439.59
10,4,0.01,0.3083,451.5
11,4,0.05,0.3341,452.24
12,4,0.1,0.3252,459.01
13,4,0.3,0.3457,482.6
14,4,auto,0.3477,456.54
15,5,0.01,0.3545,471.04
16,5,0.05,0.3705,475.35
17,5,0.1,0.3683,482.83
18,5,0.3,0.3839,505.89
19,5,auto,0.3346,474.98
20,6,0.01,0.3339,487.67
21,6,0.05,0.3338,493.57
22,6,0.1,0.3249,504.08
23,6,0.3,0.3522,529.92
24,6,auto,0.3291,489.51
25,7,0.01,0.3538,506.98
26,7,0.05,0.3658,509.49
27,7,0.1,0.3714,521.7
28,7,0.3,0.3601,559.08
29,7,auto,0.3636,507.67
30,8,0.01,0.3673,528.12
31,8,0.05,0.3761,536.49
32,8,0.1,0.3754,552.94
33,8,0.3,0.3678,581.81
34,8,auto,0.3734,532.05
