saison,episode,titre,sujet
09,09,S09E09 Rachels Phone Number.txt,"knicks, mittens, drinks, probably, intercept"
09,10,S09E10 Christmas In Tulsa.txt,"christmas, thistle, probably, knew, tulsa"
09,11,S09E11 Rachel Goes Back To Work.txt,"bagels, unemployed, tend, screensaver, reconfiguration"
09,12,S09E12 Phoebes Rats.txt,"nannies, mediocre, leptospirosis, welcome, likely"
09,13,S09E13 Monica Sings.txt,"eyebrows, unusual, potluck, rebound, amoxicillin"
09,14,S09E14 The Blind Dates.txt,"emma, ovulation, carrots, average, bummed"
09,15,S09E15 The Mugging.txt,"waitress, haze, congratulations, callbacks, supposed"
09,16,S09E16 The Boob Job.txt,"crack, savings, aisle, surprised, internship"
09,17,S09E17 The Memorial Service.txt,"carol, memorize, probably, fact, paleontology"
09,18,S09E18 The Lottery.txt,"porsche, emma, pbbqqt, organize, probably"
09,19,S09E19 Rachels Dream.txt,"romantic, vermont, garbaaaaaage, pesos, conditioners"
09,20,S09E20 The Soap Opera Party.txt,"professors, cashews, interestingly, excuse, sent"
09,21,S09E21 The Fertility Test.txt,"charlie, paleontologists, sweetest, disapproves, byzantine"
09,22,S09E22 The Donor.txt,"sperm, barbados, scans, assumptions, deal"
09,23,S09E23-S09E24 In Barbados.txt,"barbados, especially, tetris, keynote, humidity"
10,01,S10E01 Joey and Rachel Kiss.txt,"charlie, speachless, depressants, pillowcase, supposed"
10,02,S10E02 Ross Is Fine.txt,"frank, adopting, categories, barbados, appreciate"
10,03,S10E03 Rosss Tan.txt,"mississippilesly, pedicures, pat, exactly, tanning"
10,04,S10E04 The Cake.txt,"vermont, emma, organise, cholesterol, supposed"
10,05,S10E05 Rachels Sister Babysits.txt,"cookies, emma, anniversary, prepossessing, aortic"
10,06,S10E06 Rosss Grant.txt,"engagement, exhausted, taxonomic, applicants, shirelles"
10,07,S10E07 The Home Study.txt,"weddings, list, probably, adopting, sweety"
10,08,S10E08 The Late Thanksgiving.txt,"thanksgiving, contestants, showdog, probably, enjoy"
10,09,S10E09 The Birth Mother.txt,"adopt, dress, probably, ohio, table"
10,10,S10E10 Chandler Gets Caught.txt,"cake, categorizes, westchester, transpondster, geez"
10,11,S10E11 The Stripper Cries.txt,"strippers, cafeteria, adrienne, probably, gene"
10,12,S10E12 Phoebes Wedding.txt,"wedding, step, harpist, furlough, rarely"
10,13,S10E13 Joey Speaks French.txt,"honeymoon, barney, flouppe, pelle, ais"
10,14,S10E14 Princess Consuela.txt,"couples, gucci, interviewing, probably, welcome"
10,15,S10E15 Estelle Dies.txt,"paris, employees, talked, commute, unless"
10,16,S10E16 Rachels Going Away Party.txt,"packing, emma, probably, kinkiest, antacids"
10,17,S10E17-S10E18 The Last One Part I  II.txt,"babies, antacids, recovery, atkins, shhh"
