,n_topics,alpha,coherence,perplexite
0,2,0.01,0.5392,428.04
1,2,0.05,0.5211,429.5
2,2,0.1,0.5159,431.43
3,2,0.3,0.5422,440.04
4,2,auto,0.5361,435.03
5,3,0.01,0.455,441.68
6,3,0.05,0.4476,441.45
7,3,0.1,0.4477,445.54
8,3,0.3,0.4551,460.57
9,3,auto,0.4331,443.59
10,4,0.01,0.4356,455.21
11,4,0.05,0.4287,457.0
12,4,0.1,0.4466,463.3
13,4,0.3,0.4372,482.99
14,4,auto,0.4601,458.54
15,5,0.01,0.4211,467.23
16,5,0.05,0.4541,471.1
17,5,0.1,0.444,479.69
18,5,0.3,0.4666,500.22
19,5,auto,0.4383,469.9
20,6,0.01,0.4305,489.54
21,6,0.05,0.4491,492.19
22,6,0.1,0.4412,500.95
23,6,0.3,0.4518,523.43
24,6,auto,0.4431,485.99
25,7,0.01,0.4308,493.31
26,7,0.05,0.4386,499.72
27,7,0.1,0.4248,510.43
28,7,0.3,0.3974,547.5
29,7,auto,0.4066,495.21
30,8,0.01,0.4568,510.0
31,8,0.05,0.4517,518.04
32,8,0.1,0.4286,534.39
33,8,0.3,0.4301,571.73
34,8,auto,0.4528,514.89
