,n_topics,alpha,coherence,perplexite
0,2,0.01,0.4845,423.7
1,2,0.05,0.4955,423.86
2,2,0.1,0.4955,427.06
3,2,0.3,0.5036,435.79
4,2,auto,0.5167,431.41
5,3,0.01,0.5115,442.3
6,3,0.05,0.5218,442.36
7,3,0.1,0.5254,445.53
8,3,0.3,0.4727,459.64
9,3,auto,0.4985,440.89
10,4,0.01,0.4686,458.99
11,4,0.05,0.4541,460.72
12,4,0.1,0.4813,467.67
13,4,0.3,0.4824,488.88
14,4,auto,0.4864,463.01
15,5,0.01,0.4825,481.07
16,5,0.05,0.4718,480.38
17,5,0.1,0.4691,490.53
18,5,0.3,0.4632,516.88
19,5,auto,0.4781,483.25
20,6,0.01,0.476,494.93
21,6,0.05,0.4706,500.48
22,6,0.1,0.4935,515.83
23,6,0.3,0.4732,545.37
24,6,auto,0.4814,499.7
25,7,0.01,0.4717,509.4
26,7,0.05,0.4799,516.41
27,7,0.1,0.476,531.45
28,7,0.3,0.4794,577.79
29,7,auto,0.4955,514.93
30,8,0.01,0.4962,524.41
31,8,0.05,0.4936,534.68
32,8,0.1,0.4879,553.81
33,8,0.3,0.5062,597.05
34,8,auto,0.4924,528.93
