,n_topics,alpha,coherence,perplexite
0,2,0.01,0.2938,401.13
1,2,0.05,0.2938,402.08
2,2,0.1,0.2818,404.81
3,2,0.3,0.2917,411.15
4,2,auto,0.3174,406.87
5,3,0.01,0.3106,412.18
6,3,0.05,0.2973,411.86
7,3,0.1,0.3579,413.85
8,3,0.3,0.3322,429.33
9,3,auto,0.3123,414.75
10,4,0.01,0.3027,425.98
11,4,0.05,0.3457,426.93
12,4,0.1,0.338,431.89
13,4,0.3,0.3353,449.61
14,4,auto,0.3363,425.9
15,5,0.01,0.3365,441.24
16,5,0.05,0.3257,442.26
17,5,0.1,0.3394,448.76
18,5,0.3,0.3735,471.89
19,5,auto,0.3697,439.19
20,6,0.01,0.3622,460.04
21,6,0.05,0.3967,465.75
22,6,0.1,0.3978,473.46
23,6,0.3,0.3741,494.3
24,6,auto,0.3669,461.8
25,7,0.01,0.3684,469.13
26,7,0.05,0.3583,475.11
27,7,0.1,0.3267,491.03
28,7,0.3,0.3775,515.11
29,7,auto,0.3257,476.13
30,8,0.01,0.3958,479.47
31,8,0.05,0.4006,487.68
32,8,0.1,0.404,505.5
33,8,0.3,0.3828,538.62
34,8,auto,0.395,488.64
