,n_topics,alpha,coherence,perplexite
0,2,0.01,0.3632,436.17
1,2,0.05,0.3671,435.79
2,2,0.1,0.3557,437.42
3,2,0.3,0.4065,446.85
4,2,auto,0.4061,443.05
5,3,0.01,0.4321,447.52
6,3,0.05,0.4277,447.33
7,3,0.1,0.4615,449.94
8,3,0.3,0.438,463.97
9,3,auto,0.4626,445.89
10,4,0.01,0.4418,466.14
11,4,0.05,0.4577,464.8
12,4,0.1,0.4525,467.18
13,4,0.3,0.4447,483.01
14,4,auto,0.4434,456.73
15,5,0.01,0.4417,474.0
16,5,0.05,0.4223,473.07
17,5,0.1,0.437,481.76
18,5,0.3,0.4425,506.44
19,5,auto,0.407,474.81
20,6,0.01,0.4257,490.44
21,6,0.05,0.4132,494.25
22,6,0.1,0.4271,506.16
23,6,0.3,0.4032,531.8
24,6,auto,0.411,493.63
25,7,0.01,0.4075,506.56
26,7,0.05,0.3774,512.6
27,7,0.1,0.4025,525.29
28,7,0.3,0.4202,562.33
29,7,auto,0.4021,507.81
30,8,0.01,0.4167,515.22
31,8,0.05,0.4297,521.86
32,8,0.1,0.4248,538.6
33,8,0.3,0.4296,581.71
34,8,auto,0.4371,517.14
