Saison,Sujet_ID,Mots_Clés
01,1,"mindy, janice, carol, love, barry"
01,2,"mom, love, key, friend, carol"
01,3,"marcel, minsk, hot, mom, pact"
01,4,"brian, baby, work, shoe, jack"
01,5,"five, dad, alan, poker, life"
01,6,"marcel, monkey, friend, kind, paolo"
01,7,"baby, love, paul, life, dad"
02,1,"friend, phone, greene, glass, told"
02,2,"burke, drake, bob, head, woah"
02,3,"greene, julie, pick, cute, person"
02,4,"dog, dad, director, joseph, ben"
02,5,"baby, ben, cat, smelly, end"
02,6,"dad, cat, tattoo, smelly, number"
02,7,"love, apartment, fact, julie, hated"
03,1,"sister, mary, box, juice, love"
03,2,"friend, message, pick, somebody, love"
03,3,"work, mark, job, number, home"
03,4,"bang, stay, love, sister, ben"
03,5,"janice, love, blah, job, bed"
03,6,"news, told, shoe, happy, close"
03,7,"chick, money, tree, love, work"
04,1,"waltham, help, kathy, friend, dad"
04,2,"mom, apartment, friend, parent, burgin"
04,3,"love, baby, mom, life, wedding"
04,4,"book, party, treeger, baby, job"
04,5,"emily, party, baby, love, work"
05,1,"earring, soon, pizza, lost, gas"
05,2,"party, soup, room, ben, hit"
05,3,"hand, emily, frank, love, twin"
05,4,"hand, cat, kiss, baby, friend"
05,5,"sister, friend, emily, ben, love"
05,6,"work, sandwich, emily, wife, told"
05,7,"richard, cat, waltham, emily, love"
05,8,"howard, love, couch, dinner, cup"
06,1,"ring, joke, date, jill, happy"
06,2,"love, live, attack, cry, job"
06,3,"ralph, lauren, ring, made, remember"
06,4,"table, paul, fun, dad, black"
06,5,"joke, cry, roommate, room, credit"
06,6,"room, move, barn, pottery, lamp"
06,7,"married, love, marriage, divorce, break"
06,8,"friend, money, thursday, joke, present"
07,1,"work, office, phone, love, married"
07,2,"chair, drunk, kid, coming, love"
07,3,"love, candy, coming, plan, weird"
07,4,"santa, love, ben, wedding, dad"
07,5,"date, love, probably, wedding, face"
07,6,"wedding, dad, money, dress, married"
07,7,"left, face, help, remember, dad"
08,1,"baby, love, friend, wedding, mona"
08,2,"pregnant, baby, love, sex, father"
08,3,"date, baby, work, game, help"
08,4,"baby, question, love, married, excuse"
08,5,"baby, party, friend, love, work"
09,1,"love, party, life, sleep, number"
09,2,"doctor, enough, seeing, life, party"
09,3,"job, love, christmas, kind, bigger"
09,4,"baby, emma, mike, win, job"
09,5,"propose, work, friend, love, relationship"
09,6,"love, emma, friend, nobody, home"
09,7,"mike, work, dad, david, gone"
09,8,"tulsa, love, friend, mike, smoke"
10,1,"baby, emma, friend, love, frank"
10,2,"love, house, emma, baby, mike"
